Area,Value,Room,Living,School,Year,Floor
136,435,3,2,1,2000,24
51,251,2,1,0,1989,2
220,970,4,2,1,2002,7
114,590,2,1,1,2002,14
111,462,2,2,1,2005,26
153,575,3,2,0,2000,11
60,290,2,1,1,1989,16
174,780,3,2,0,2004,26
122,378,2,1,1,2005,6
82,263,2,1,0,2003,24
56,320,2,1,1,1982,6
53,248,2,1,1,1983,6
99,288,2,2,0,1999,25
110,320,2,2,0,2005,15
225,1380,5,2,0,2008,0
65,300,3,1,1,1990,6
79,260,2,1,0,1996,16
137,405,3,2,1,2010,2
120,410,3,2,1,2000,18
47,208,1,1,0,1993,1
56,210,2,1,1,1991,6
152,720,4,2,1,2004,11
54,185,2,1,0,1988,6
62,186,2,1,0,1982,7
91,218,2,1,1,2001,7
74,180,2,1,1,1994,6
98,245,3,2,1,2001,6
64,235,1,1,1,1996,24
73,190,2,1,1,1985,19
166,1150,3,2,1,2004,11
90,320,2,1,1,2004,9
84,228,3,1,0,1986,6
106,323,3,1,1,1997,18
421,1400,4,3,1,2007,2
85,258,3,1,1,1985,18
38,145,1,1,0,1982,15
47,255,1,0,0,2009,19
96,188,2,2,0,1999,6
48,155,1,1,0,1993,6
137,420,3,2,0,1998,22
78,355,3,1,1,1990,18
105,390,3,1,0,1996,6
82,211,2,2,0,1996,5
42,165,2,1,0,2000,11
47,130,1,1,0,1995,16
205,1070,3,2,1,2011,27
73,145,2,1,1,1993,6
67,185,2,1,0,1992,18
68,360,3,1,1,1986,6
87,190,2,1,1,2000,6
70,186,2,1,0,1994,12
45,165,1,1,0,1994,6
146,310,3,2,0,2004,13
98,432,3,2,1,2003,10
67,184,1,1,1,2004,6
66,200,2,1,1,1998,22
70,325,3,1,0,1986,6
62,220,2,1,1,1994,6
89,228,2,1,1,1997,24
69,255,2,1,0,1984,6
86,460,3,1,1,1992,14
54,185,2,1,0,1979,12
54,267,3,1,1,1963,4
100,340,2,2,0,2001,19
58,160,3,1,0,1979,6
100,396,2,1,1,2005,23
86,290,2,1,1,1990,6
108,289,2,1,1,2001,6
65,249,1,2,1,2006,18
45,260,1,1,1,1988,18
143,555,3,2,0,2010,27
59,160,1,1,0,2003,6
60,160,1,0,0,2007,19
81,400,3,1,0,1996,6
68,242,2,1,1,1998,18
128,660,2,2,0,2000,27
110,400,2,1,0,1997,22
129,495,3,2,0,2003,4
60,140,2,1,0,1984,6
95,250,2,2,0,2008,9
87,412,3,1,1,1995,4
41,197,1,1,1,1990,6
62,440,2,1,1,1984,16
89,170,3,1,0,2009,21
49,201,2,1,0,1985,6
99,170,2,2,0,2000,6
498,1400,6,3,0,2002,22
78,175,2,1,0,2004,18
72,220,2,1,1,2000,24
117,550,3,2,0,1998,25
49,195,2,1,0,1994,6
42,188,1,1,1,1985,17
92,202,2,1,1,2001,25
101,200,2,1,1,2000,19
60,205,2,1,0,2011,14
110,350,2,1,1,1999,18
115,255,3,1,1,2002,7
122,242,3,2,1,1994,16
75,160,2,1,1,1995,6
95,250,2,1,1,1997,6
100,410,2,2,0,2006,26
47,130,1,1,0,1995,16
61,251,2,1,1,1986,6
95,315,2,1,1,2009,24
59,233,2,1,1,1991,6
65,308,2,1,1,1995,6
87,410,1,1,1,1995,16
84,200,2,1,1,1999,10
56,290,2,1,1,1990,18
93,365,2,1,0,2005,16
141,250,3,1,0,2001,17
111,285,2,1,1,2000,25
82,410,3,1,0,1990,6
81,380,3,1,1,1991,18
76,360,3,1,1,1985,14
101,240,2,2,1,2003,23
224,1250,4,2,1,2009,19
56,200,2,1,1,1982,6
57,109,2,1,1,1991,6
158,290,4,2,1,2009,6
53,220,1,1,0,2003,17
58,160,2,1,1,1989,6
106,380,3,2,1,1996,6
41,150,1,1,0,1980,5
98,350,2,2,1,2000,28
146,310,3,2,0,2004,13
37,220,1,1,1,2002,20
84,182,2,1,0,1998,6
123,475,3,2,0,1998,15
113,290,3,2,0,2005,15
49,197,1,1,0,1990,12
92,265,2,2,0,1998,18
116,610,2,1,1,2002,12
69,225,2,1,1,1997,6
88,460,2,2,0,2005,18
130,460,2,1,1,2001,21
54,425,2,1,1,1990,6
88,560,3,1,0,2003,6
81,270,3,1,0,1979,6
59,310,2,1,1,1998,6
97,277,3,2,1,2003,6
64,180,1,1,1,2004,15
36,175,1,1,1,1991,5
90,210,1,0,0,2013,20
40,132,1,1,0,2011,13
65,165,1,1,0,1999,6
55,180,2,1,0,2012,16
68,220,2,1,1,1990,22
66,135,1,1,0,2012,2
125,257,3,2,1,2000,12
90,290,2,1,1,2008,24
61,290,2,1,1,1996,6
60,320,2,1,1,1990,6
44,150,1,1,1,1991,22
100,330,2,2,1,2002,21
107,250,2,2,0,2000,6
41,166,1,1,0,1980,6
120,400,3,2,0,1990,26
50,215,2,1,0,1985,6
101,665,3,1,1,1983,6
55,280,2,1,1,1980,6
110,248,3,1,1,1995,7
100,198,3,1,0,2003,6
117,220,3,2,1,2012,8
43,150,1,0,1,2000,24
87,193,2,1,0,1995,6
121,245,3,2,0,2005,6
118,305,3,1,1,2006,6
137,380,3,2,1,2009,10
94,275,2,1,0,2006,6
60,470,2,1,1,1979,5
72,490,3,1,1,1979,6
68,207,2,1,1,1997,6
127,650,2,2,0,2004,4
64,198,2,1,0,1995,6
99,420,2,2,1,2004,16
123,270,3,1,0,2010,19
73,290,1,0,0,2000,28
102,202,2,1,1,2004,6
62,309,2,1,1,1981,5
164,420,3,1,1,2004,31
53,175,2,1,1,1979,6
75,350,1,1,1,2000,7
91,330,3,2,1,2010,28
59,175,2,1,1,1986,6
56,158,2,1,0,1978,5
98,245,2,2,1,2006,9
98,425,2,1,1,2008,9
152,265,3,2,0,2006,6
108,260,2,2,0,2002,6
138,338,3,1,1,2002,11
109,570,2,1,1,2006,21
129,325,3,2,1,2004,6
72,365,2,1,1,1980,6
89,315,2,1,1,1997,26
57,123,1,0,1,2003,22
142,880,3,2,0,2004,11
46,144,1,0,1,2001,14
58,245,3,1,1,1975,5
60,148,1,1,1,2008,17
48,200,1,1,0,1980,6
282,2200,4,2,1,2013,18
92,450,3,1,0,2004,16
65,159,1,1,1,2004,12
100,850,2,2,1,2005,16
82,265,2,2,0,1992,21
78,180,2,1,1,2014,34
67,200,1,1,1,2007,21
200,850,3,2,1,2009,20
131,355,3,2,1,2002,5
137,385,3,2,1,2003,11
56,185,2,1,0,1993,6
53,186,2,1,0,1983,6
47,175,1,1,0,2009,9
98,350,2,1,1,1996,21
148,750,3,2,0,2007,20
268,338,4,2,0,2011,4
118,410,5,1,1,1995,6
99,283,2,1,1,2000,24
60,300,2,1,0,1985,12
62,259,1,1,1,2000,18
58,241,2,1,1,1991,6
60,148,1,1,1,2008,17
62,177,2,1,0,1995,24
210,860,5,2,1,2003,3
84,270,3,2,1,1998,14
74,360,2,1,0,2000,20
71,175,3,1,1,1984,6
210,800,3,2,0,2000,20
68,190,3,1,0,1994,9
77,270,3,1,0,1986,6
105,370,3,2,0,1996,22
165,720,3,2,1,1999,9
91,375,2,1,1,2004,18
45,200,1,1,1,1990,6
106,380,3,2,1,1996,6
122,400,2,1,1,1999,22
50,216,2,1,0,1980,6
74,320,1,2,1,2000,24
86,270,2,1,0,2005,16
47,208,1,1,0,1993,1
152,710,3,2,0,2004,18
42,241,1,1,1,1983,6
80,290,2,1,1,2000,7
81,620,3,1,1,1983,5
82,260,2,1,1,2000,6
94,350,2,1,0,1999,22
61,260,2,1,1,1982,6
117,220,3,2,1,2012,8
174,780,3,2,0,2004,26
139,360,3,2,1,2007,15
56,185,1,1,1,2004,21
151,500,3,2,0,2002,21
225,1050,4,2,1,2008,8
225,1500,3,2,1,1999,6
97,440,2,1,0,2004,9
103,380,2,2,1,1999,16
80,293,1,1,0,2009,6
124,267,2,2,0,2001,17
41,197,1,1,1,1990,6
124,275,3,2,0,2007,6
84,200,2,1,1,1999,10
136,410,3,2,0,1999,24
34,98,1,1,1,2008,24
89,170,2,2,1,1995,6
101,252,2,2,0,2003,6
62,315,2,1,1,1980,18
129,530,3,2,1,2000,23
89,245,2,2,0,2003,6
94,210,2,2,1,2006,11
115,260,3,2,0,2010,11
183,730,3,2,1,2005,4
92,220,2,2,1,2000,6
63,190,1,1,0,2003,24
95,520,2,1,0,2003,7
96,550,3,2,1,1999,18
51,170,2,1,1,2002,6
217,750,3,2,0,2000,18
65,308,2,1,1,1996,6
62,135,2,1,0,1994,6
43,130,2,1,1,1973,6
80,285,1,1,0,2009,6
55,225,2,1,0,1975,12
90,315,2,1,1,2006,20
72,430,1,1,1,2005,11
63,230,1,1,1,1998,24
62,225,1,0,1,2001,28
61,174,2,1,0,1995,6
84,226,2,2,0,2005,17
144,530,3,2,1,2001,29
123,438,2,2,1,2000,11
90,275,2,2,1,1997,6
121,340,2,2,1,2004,6
77,249,2,1,0,2001,20
97,429,2,1,1,1990,24
63,260,1,1,1,2000,26
52,255,1,1,0,2002,29
82,408,2,2,1,1997,6
58,195,2,1,1,1998,6
84,238,2,1,0,2007,27
56,240,1,1,1,2009,18
46,108,1,1,1,1995,6
56,404,2,1,0,1981,6
69,145,1,1,1,2005,4
141,400,3,2,1,2004,9
112,290,2,1,1,1993,26
87,395,2,1,1,1999,24
93,455,3,1,1,1992,7
50,169,1,0,1,2008,32
71,300,2,1,1,2010,28
158,530,3,1,1,2000,20
63,245,1,1,1,2007,19
46,183,1,1,1,1981,16
89,182,2,2,1,2004,6
47,200,1,0,1,2009,22
203,850,4,2,1,2002,17
57,214,2,1,0,1985,6
50,170,2,1,0,1982,15
46,90,1,0,0,1999,6
70,310,2,1,0,1989,21
106,388,3,1,1,2006,13
161,500,3,2,1,2000,25
136,410,3,2,0,1999,24
58,210,1,1,0,1986,17
54,300,1,1,1,1998,10
70,330,3,1,1,1980,15
55,390,1,1,1,2003,10
58,140,1,1,1,2005,12
111,400,3,2,0,2004,22
35,160,1,1,1,2003,11
109,230,3,1,1,1996,6
80,245,2,1,1,1996,18
52,255,1,1,0,2002,29
61,310,2,1,1,1989,18
32,195,1,1,1,2002,20
99,498,3,1,1,1985,18
55,135,2,1,1,1984,6
48,320,1,1,1,1990,17
73,158,2,1,1,1993,6
42,120,1,1,0,1990,6
123,500,3,2,0,2000,16
69,248,2,1,0,1995,18
80,315,2,1,0,1998,6
54,225,1,1,1,2004,15
132,630,3,1,1,2002,20
49,210,2,1,0,1976,6
134,315,3,2,1,1998,7
66,205,1,1,1,2005,25
120,310,2,2,1,2003,25
140,800,3,2,1,2004,18
40,105,1,1,0,2008,12
91,280,2,1,0,2004,14
137,405,3,2,1,2010,2
93,286,2,2,1,2006,18
87,299,1,2,0,2005,18
121,360,2,2,0,1996,6
123,270,3,1,0,2010,19
93,248,2,1,0,2001,23
82,163,2,2,1,1993,6
124,230,3,2,0,2007,6
178,600,4,2,0,2005,7
54,350,1,1,1,2005,16
273,1180,5,3,1,2003,9
60,210,1,1,1,2000,25
60,246,2,1,1,1990,6
58,130,2,1,0,1999,6
75,350,1,1,1,2000,7
70,260,2,1,1,1998,7
48,245,1,1,0,1984,14
57,320,2,1,1,1994,6
62,138,1,1,1,1998,6
97,430,2,1,1,1999,7
104,318,3,1,1,2001,24
114,310,3,1,1,2000,25
153,575,3,2,0,2000,11
123,420,2,2,1,2000,24
68,205,1,1,0,2002,6
63,192,2,1,0,1987,16
60,325,2,1,1,1992,6
119,360,2,1,0,2002,11
57,210,1,1,0,2000,26
40,150,1,1,0,1980,15
94,220,3,1,1,2007,18
65,490,2,1,1,1980,16
49,167,1,1,1,1990,25
109,180,2,2,1,2005,6
98,315,2,2,1,2002,14
90,175,3,1,0,1996,6
45,155,1,1,0,1990,14
90,415,3,1,1,1996,6
47,165,1,1,1,1988,24
56,158,2,1,0,1978,5
52,130,3,1,1,1987,4
90,278,2,2,1,2010,20
69,255,2,1,0,1984,6
79,380,2,2,1,2005,17
113,286,2,2,1,2003,6
75,240,3,1,0,2005,6
89,220,2,1,0,2002,6
66,210,2,1,0,1998,22
142,335,3,2,0,2005,9
55,259,1,0,1,1992,16
72,320,3,1,1,1990,16
57,340,2,1,1,1994,6
114,179,2,1,1,1996,25
70,385,2,1,1,2003,6
81,370,2,1,1,1997,6
67,210,2,1,1,2000,6
215,550,3,2,1,2005,5
65,330,2,1,1,1995,6
123,680,2,1,1,2003,14
70,205,1,1,1,2003,11
49,200,1,1,1,1995,15
79,190,2,2,1,2005,6
149,588,3,2,1,2003,22
93,308,2,2,0,2007,26
139,380,3,1,1,2004,4
60,190,1,1,0,2000,24
161,500,3,2,1,2000,25
98,270,2,2,0,2004,18
145,615,3,2,0,2005,17
59,285,2,1,1,1985,16
89,470,2,1,0,1994,19
72,220,2,1,1,1999,18
60,350,2,1,1,1985,6
99,300,2,1,0,2003,32
60,300,2,1,0,1985,12
295,1650,4,2,1,2004,11
134,470,3,2,1,1998,28
47,130,1,1,0,1995,16
131,465,3,1,1,2005,15
97,465,3,1,0,1996,6
123,460,3,1,1,1998,7
144,366,3,2,0,2004,11
97,360,4,1,0,1998,6
116,275,3,2,0,2002,6
58,195,2,1,1,1984,6
90,275,2,2,1,1997,6
65,230,2,1,1,1992,21
60,190,2,1,1,1987,20
87,285,2,2,1,2004,6
59,255,2,1,1,1991,6
81,260,2,2,0,2005,9
63,360,2,1,1,1983,5
55,155,2,1,1,1991,6
63,288,2,1,1,1993,6
232,298,4,2,0,2002,7
166,850,3,1,1,2005,19
118,390,2,2,0,1997,6
92,217,2,1,1,2004,20
57,223,3,1,0,1983,6
109,400,2,1,1,2005,22
72,259,2,1,1,1988,23
47,188,1,0,0,2010,19
225,1050,4,2,1,2008,8
129,1000,2,2,1,2003,13
72,152,2,1,1,1995,6
99,271,2,2,1,2004,18
55,200,2,1,0,1991,5
70,195,2,1,1,1993,18
87,305,2,1,1,1996,20
72,220,2,1,1,1996,18
89,315,2,1,1,1997,26
120,495,3,2,1,1990,10
62,162,1,1,1,2003,24
111,530,2,2,1,2003,28
51,240,2,1,1,1981,6
40,135,1,1,0,1980,6
103,380,2,2,1,1999,16
41,228,1,1,1,1986,6
90,315,2,1,1,2000,22
56,158,2,1,0,1978,5
109,308,2,2,0,2003,25
107,418,2,1,1,2001,24
97,380,2,2,1,2004,20
149,345,3,2,0,2005,28
44,240,1,1,1,1980,6
95,210,2,2,1,2004,18
57,255,2,1,0,1993,6
92,380,2,2,1,2004,15
104,315,2,2,1,2002,30
127,380,2,2,1,1998,28
62,510,2,1,1,1974,6
67,330,2,1,1,1998,28
59,280,2,1,1,1995,6
96,202,2,2,1,2010,28
54,156,2,1,0,1985,6
70,190,2,1,1,1998,6
120,310,2,2,1,2003,25
44,198,1,0,0,2011,1
180,1235,4,2,1,2010,5
214,895,4,2,1,2007,30
60,190,1,1,1,1996,19
41,130,1,1,0,2010,12
49,197,1,1,0,1990,12
219,650,4,2,0,2003,3
86,210,2,2,0,1995,6
127,330,3,2,1,2006,5
98,300,2,2,0,2008,6
40,243,1,1,1,1988,6
61,262,2,1,1,1993,6
58,240,2,1,1,1980,6
124,400,3,1,1,1999,24
60,190,2,1,0,1983,14
77,230,2,1,1,1996,14
93,270,2,2,1,2006,18
139,830,3,1,1,1999,16
90,510,3,1,1,2000,18
57,228,2,1,1,1987,6
64,235,1,1,0,2003,18
216,800,4,2,0,1997,12
81,620,3,1,1,1983,5
89,580,2,1,0,2011,32
114,240,2,2,0,2004,12
131,700,3,2,1,2005,15
138,500,2,1,0,2002,30
40,150,1,1,0,1980,15
52,122,1,1,0,2011,18
59,286,2,1,1,1985,6
69,139,1,1,1,1992,6
225,1050,4,2,1,2008,8
86,290,2,1,0,2000,21
76,300,3,1,1,1995,15
60,275,2,1,1,1992,6
63,270,2,1,1,1994,18
65,301,2,1,1,1995,6
92,213,2,1,1,2001,7
230,2020,3,2,1,2012,18
77,270,2,1,0,2001,20
158,660,3,2,1,2006,13
57,165,2,1,1,1975,5
69,260,3,1,0,1993,6
55,250,1,1,0,2003,17
110,248,3,1,1,1995,7
51,170,2,1,1,2002,6
100,318,3,1,1,2002,6
91,200,2,2,0,2012,24
130,540,3,2,0,2000,24
65,260,1,1,1,2012,16
73,152,2,1,0,1993,6
282,2200,4,2,1,2013,18
62,220,2,1,0,1995,6
51,134,2,1,0,1991,7
61,235,2,1,0,1986,16
139,550,3,2,1,2001,26
51,175,1,1,0,2007,16
64,240,1,1,1,2003,15
68,207,2,1,1,1997,6
245,420,4,2,0,2002,6
104,315,2,2,1,2002,30
95,558,3,1,1,1992,6
63,300,1,1,0,2000,25
53,305,2,1,1,1985,6
60,165,2,1,0,1981,6
93,530,2,1,1,2004,16
130,268,3,2,1,2001,6
56,185,2,1,0,1990,6
149,280,3,2,1,2002,13
108,690,2,2,1,2013,26
53,248,2,1,1,1994,6
57,240,2,1,0,1990,25
83,580,2,1,1,2004,13
93,370,1,2,0,2010,30
88,290,2,1,1,2004,24
63,190,1,0,0,2006,24
59,203,2,1,0,1990,6
99,229,3,2,0,1999,6
82,211,2,2,0,1996,5
137,420,3,2,0,1998,22
58,200,2,1,0,1993,18
59,254,2,1,1,1993,6
47,250,1,1,1,1996,6
48,225,1,1,0,2007,25
124,560,2,2,1,2000,24
58,230,2,1,1,1991,6
61,174,2,1,0,1995,6
89,461,3,1,1,2003,17
121,445,3,1,1,2001,23
98,432,3,2,1,2003,10
144,590,3,2,0,1997,22
86,360,2,1,1,1995,12
94,350,2,1,0,1999,22
104,220,3,1,1,2008,24
46,210,1,1,0,1996,9
146,470,3,2,1,2000,19
59,202,2,1,0,1988,7
136,410,3,2,0,1999,24
58,245,3,1,1,1975,5
63,360,2,1,1,1983,5
99,300,2,1,0,2001,18
90,315,2,1,1,2006,20
99,500,2,1,1,1998,7
130,540,3,2,0,2000,24
61,177,1,1,0,2013,9
116,350,2,1,0,2004,7
98,370,2,1,0,2000,24
73,270,2,1,1,1994,18
58,145,2,1,0,1994,16
114,310,3,1,1,2000,25
245,420,4,2,0,2002,6
94,230,2,1,1,2000,7
54,410,2,1,1,1990,6
66,200,2,1,0,1996,6
56,278,1,1,1,1990,16
69,230,3,1,0,1994,6
115,580,3,2,0,1998,14
53,185,2,1,0,1982,6
134,495,3,2,0,2010,25
85,500,3,1,1,1967,4
57,175,2,1,1,1994,6
76,235,1,1,1,2003,32
73,190,2,1,1,1985,19
173,385,3,2,0,2004,4
73,145,2,1,1,1993,6
87,193,2,1,0,1995,6
89,260,1,1,1,2008,33
143,600,3,1,1,2000,20
94,265,2,1,0,2000,20
470,1480,5,2,1,2009,1
113,305,2,2,1,2003,6
93,525,3,1,1,1990,14
60,195,2,1,1,1987,16
42,199,1,1,0,1995,6
96,380,2,1,1,2005,24
75,268,1,1,1,2008,32
85,530,2,2,1,2005,16
61,240,2,1,1,1996,7
81,305,2,1,0,1998,23
110,400,2,1,0,1997,22
114,570,2,2,0,2000,7
127,310,3,2,0,2006,10
127,390,3,2,1,2001,25
141,428,4,1,1,2001,7
56,230,2,1,0,1992,6
45,185,1,1,0,1995,6
90,425,2,2,1,1995,12
59,245,1,1,0,2006,18
95,298,2,1,0,2002,10
68,315,3,1,0,1982,6
107,630,3,1,1,1987,16
69,286,2,1,0,1999,6
52,218,2,1,0,1987,6
61,135,1,0,0,2012,17
60,165,1,1,1,2004,6
224,580,3,2,1,2008,12
63,235,2,1,0,1993,6
86,230,2,1,1,2004,6
60,230,2,1,0,1988,6
44,190,1,1,1,2000,12
170,669,3,2,1,2015,32
57,310,3,1,1,1988,6
87,390,2,2,1,2005,18
48,170,1,1,0,2002,26
76,137,3,1,0,1995,6
178,310,4,1,1,2001,32
93,350,2,1,1,2007,14
100,198,3,1,0,2003,6
127,780,2,2,0,2004,4
54,360,1,1,0,2002,16
58,186,2,1,0,1983,6
119,299,3,1,1,2005,6
89,461,3,1,1,2003,17
56,370,2,1,1,1981,6
466,2500,7,3,0,2002,9
55,108,1,1,0,2006,12
156,450,3,1,0,2001,25
54,250,2,1,1,1995,6
100,290,2,1,0,2002,7
141,375,3,2,1,2000,24
120,1000,3,1,1,1999,6
88,245,2,1,0,2003,24
47,120,1,1,0,2005,19
101,110,2,1,0,2001,6
149,588,3,2,1,2003,22
67,308,2,1,1,1986,14
41,175,1,1,1,1980,5
87,330,2,1,1,1966,20
62,160,2,1,0,1993,6
114,335,3,2,1,1998,6
49,197,1,1,0,1990,12
50,235,2,1,1,1983,6
94,215,2,1,1,2000,32
100,220,2,1,0,2007,6
61,225,2,2,0,2011,14
57,175,2,1,0,1988,6
66,190,2,1,0,2000,18
104,472,2,1,0,2000,26
147,358,3,1,0,2001,1
88,320,2,2,0,1999,26
55,298,2,1,1,1996,6
114,405,3,1,1,1997,6
76,360,3,1,1,1985,14
69,260,3,1,1,1983,14
115,280,3,2,1,2008,6
76,181,1,1,0,2001,17
135,305,3,2,1,2004,6
91,185,2,1,1,2000,6
61,320,2,1,1,1985,6
64,240,1,1,1,1995,24
58,370,2,1,1,1996,5
120,700,3,2,1,2004,25
125,265,3,2,1,2004,6
166,850,3,1,1,2005,19
45,350,1,1,1,1980,7
145,485,3,2,1,2007,27
94,340,2,2,1,2007,18
60,173,1,1,0,2005,18
50,320,1,1,1,2001,6
68,195,2,1,0,1999,6
98,463,3,1,1,1998,26
54,236,1,0,0,2005,6
102,495,2,1,1,2000,23
81,270,3,1,0,1979,6
122,435,3,2,1,1998,6
139,830,3,1,1,1999,16
80,300,3,1,1,1986,24
77,255,2,2,0,2001,20
63,335,3,1,1,1993,6
97,208,2,2,1,2002,6
260,625,5,2,0,2001,3
124,245,3,2,1,2007,6
112,630,2,2,0,2002,9
46,185,2,1,1,1995,6
112,288,3,2,1,2000,7
42,145,1,1,0,1987,6
83,315,3,1,1,1998,7
87,240,3,1,1,1993,6
52,175,1,0,1,2002,24
104,240,2,2,0,2004,6
99,229,3,2,0,1999,6
101,665,3,1,1,1983,6
104,252,2,2,1,2000,12
63,181,1,1,0,1999,28
134,760,3,2,0,2012,15
109,260,2,1,0,2000,11
65,403,2,1,1,1996,16
61,195,2,1,1,1992,5
96,157,2,1,1,1996,6
89,200,2,1,1,2003,7
137,700,3,2,1,2006,4
131,465,3,1,1,2005,15
45,194,1,1,1,1986,14
76,240,2,1,1,1997,19
54,200,2,1,1,1982,6
93,490,2,1,1,1998,6
65,295,2,1,1,1990,25
70,252,1,2,1,1999,30
124,299,3,2,1,2006,6
127,770,3,2,1,2004,14
91,345,2,2,0,1999,7
90,288,2,1,0,2003,15
125,270,3,2,1,2005,12
80,230,2,1,0,1990,24
141,255,3,2,1,2001,17
111,325,2,1,1,2004,9
137,700,3,2,1,2006,4
158,870,2,2,0,2010,20
89,226,2,2,1,2005,10
59,213,2,1,0,1992,28
90,456,2,1,1,2004,8
88,205,2,1,0,2002,6
167,542,3,2,1,2012,9
224,580,3,2,1,2008,12
85,455,3,1,1,1988,18
53,285,1,0,1,2009,19
51,185,1,0,0,2000,2
100,185,2,2,1,2005,16
54,220,2,1,1,1987,6
58,170,2,1,1,1985,6
69,275,2,1,1,2004,28
49,197,1,1,0,1990,12
57,250,1,1,0,2005,20
114,238,3,2,1,1994,16
123,495,3,2,1,2012,27
86,340,2,2,1,2011,28
102,260,2,1,1,1993,3
93,250,2,1,1,1998,25
120,510,3,2,1,1998,23
66,252,2,1,1,1986,6
58,320,2,1,1,1988,6
150,388,3,1,1,2003,32
95,250,2,2,0,2008,9
48,155,1,1,0,1993,6
78,270,2,2,0,2004,9
85,210,2,1,0,2002,22
129,588,3,2,1,2005,5
109,500,3,2,1,1999,18
145,580,4,2,0,1989,18
58,165,2,1,1,1980,6
70,245,3,1,0,1988,6
60,200,2,1,0,1990,14
95,315,2,1,1,2009,24
117,265,2,1,1,2001,7
71,165,2,1,1,1995,5
135,305,3,2,1,2004,6
70,330,2,1,1,1987,16
288,820,1,0,0,2005,19
66,270,2,1,0,1985,16
55,155,2,1,1,1991,6
90,315,2,1,1,2006,20
53,285,1,0,1,2009,19
57,190,2,1,0,1993,6
56,223,3,1,0,1979,6
81,485,2,1,1,2000,18
81,135,2,1,0,1995,6
83,185,3,1,1,1994,6
97,208,2,2,1,2002,6
149,345,3,2,0,2005,28
157,285,3,2,1,2004,10
90,315,2,1,1,2000,22
89,220,2,1,0,2000,20
38,142,2,0,0,2011,4
67,195,2,1,0,2002,6
65,220,1,1,0,1998,24
58,320,2,1,1,1988,6
54,195,2,1,1,1980,6
90,390,2,1,1,2000,11
105,140,2,1,0,2000,11
57,123,1,0,1,2003,22
109,291,2,2,1,2004,7
72,330,2,1,1,1996,6
55,230,1,1,1,2003,17
89,320,2,2,0,1999,12
103,770,3,1,1,1993,6
70,287,3,1,1,1998,6
99,320,2,1,1,2008,25
63,247,1,1,1,2003,19
206,960,4,2,0,2004,24
50,180,1,1,0,2009,12
